title,author,century,text,etiqueta
- LIII -,Juan de Arguijo,15-17,enriquecuatrovecesestiorobofloridocampocoloresveranootrastantasvertiofloresmargenesverdesesteriodespueslisonjerodesvariosurcandofalsomaramorescorrifortunarotoentreclamoresdadosvanoanegonaviolibretierrasalibesearenadespojosundosafuriapaguecumpliendovotosacrotemplomellamaotravezfazserenamarvuelvamimipropiainjuriaajenabastatiejemplo,Religioso Mistico
Soneto,Juan Rodríguez del Rincón,15-17,tambieneminenciasolrosamonarcassiendoamagarigoresardientesrayoscierzosvaporestiemposergrandezapeligrosatodotiamenazadoprodigiosamajestadllorovanostemoressieternosvinculantifloressacrolaurelluztanpoderosafrustrofatalhadotristesuertevenenoprudenciaprevenidavenenograndezadulcefuerteburlasiaunantesnacidaprovidocieloexcusartumuerteestevenenoalimentotuvida,Religioso Mistico
Soneto,Baltasar de Estazo,15-17,quisoeternopadrepoderosdarloorcuantoquisodarospuedapensamientoimaginarosnopuedalenguaengrandecerosfueraperfectobienconocerossiconociendoosyosupieraamarosporquepudieraamandocontemplaroscontemplandopudieracomprenderossolodiosvuestrohijoconociendovuestroaltoserdivinopuedeamandocontemplarosfincomprendiendoestesoloosalabevasubiendoporquesolollegarpuedealabandovosllegarpudistemereciendo,Religioso Mistico
A las ruinas de Itálica,Juan de Arguijo,15-17,estarubiaceresconsagradapartefecundamadretierrasustentocomunorbeencierratantaespigaprenezdoradaciudadcomerciodedicadaquietudverdaddestierradurodespuesteatroguerratodasangredejobanadaprimitivoasuntorestauradograciasrindefrutorepetidocircularpreceptomesestambiensiendoletiempoagradecidonohierrohieraaradonopesooprimamieses,Religioso Mistico
Soneto,Alonso de Bayona,15-17,pudorendirsecrueldolenciamajestadcedropomposotanbienbuscantriunfogloriosorayosdoloreminenciacesenlamentosyapuesviolenciasoloamagotruenoescandalosoporquetopogolpefuriosolaurelaugustoresistenciapudomorirresistiosealtivanuncariesgovalorablandemarianasiempreinmortalvivanogolpedesmandegrandeluegoserderribaencuentreluegogrande,Heroico
- XIII -,Juan de Arguijo,15-17,banallorandoofendidolechocolatinoconsorteamadatiranafuerzadisculpadasinovoluntadcastigahechorompehierroagudocastopechoabrecaminoalmaindignadabajaoscurasombradovengadaaundudasiofensahasatisfechovenciopaternollantoendurecidaesposoruegonobastamenospreciomortaldesviocedadebidohonordulcevidanobiendijootracastaosevivirejemplomio,Religioso Mistico
Soneto,Juan Bautista de Mesa,15-17,dormiapradomipastorahermosatornoellaerrabaentrefloresotrausurpandolicoresabejuelayodichosaviolabiosdondeamorreposaquienalbaenvidiacoloresvuelorefrenandoerroresenganadamuerdecomorosaohventurosoerrordiscretoenganoohtemerariaabejapuestocastedondeaunimaginarlonomeatrevosihassentidoenvidiatristedanoparteconmigonectarrobastetedebereamornodebo,Amoroso
"A la muerte del doctor Juan Pérez de Montalbán, laureado poeta de esta coronada villa de Madrid",Diego de Sepúlveda,15-17,murioalbanioaydoloryacetrofeodiomanzanarestantagloriaingenioplumamemoriatragicoasuntofunebreempleofaltodoctaliradulceorfeonodudesmortaltransitoriacuantacelebratemporalhistoriatodahumanadichadevaneotugloriosafelizsuertelibreemulacionlibreenganosgozasasicreoinmortalvidagranremediomiahoytumuertequieradiostantosdesenganoslogreyatuejemplomeconvida,Religioso Mistico
Al mismo tema,Damián Ruiz de Silva,15-17,bajapurocristalpurohielolluviatierratorbellinoondosocorazondiasolhermosoenjugallantohalloradocielocuandonieblaexhalavitriovelounootrovaporcaliginosonubepavimentoluminososinoleempanaleoponevelopuessiaquiluminartantoelementoleperturbatansoloaccidenteimpresovaporllevavientomuchomontalbantantoardienteideahumanoentendimientomovilpierdafirmeasiento,Amoroso
Soneto,Luis Martín de la Plaza,15-17,dafnesueltocabelloespaldacuyashebrastremolafrescovientohuyeligerapensamientoaunnohuellahierbaesmeraldatinecaracolorgualdacuandooyecercaenemigoalientodiosformaceloscontentogozavientoalzandolefaldaviendocorrevuelanoalcanzalegritaninfahermosapuesteadorodetenteaguardamirabienpierdessecaseleverdeesperanzacuandomiracrespashebrasorolaureltrasformarsehojasverdes,Religioso Mistico
Eróticas – - I -,Esteban Manuel de Villegas,15-17,vesinstabilidadnuestravidallorartristereirsuavevesfacilidadmuestraaveredimirlibertadperdidavesespumamarblancacrecidadesgajarsetorrentegravevespevesaguavesnavepuestodossonretratostuyoslydafuistemujertodastusaccionestinoesperotaldesvarioyallorasuyoporquefineresvosotrasoisestasrazonesvidaaveespumapezaguanavioperdonadsioscomparomujeres,Amoroso
Soneto,Fermín de la Puente y APechea,15-17,triunfodiosbarbarovictoriagraciapreservadoraluzclemenciamariahombresdescendenciamanchahumanalescoriaconcebidaantetiempomemoriatiagostosenoromnipotenciatuerescreacionexcelenciaturedencionmejorgloriatantosombrapecarteespantaprimerodejarasnovencidamadrediostuigualfortunalunadragonsontuplantayazgasoberbiamividamiinstablevoluntadesaluna,Religioso Mistico
Soneto,Luis Martín de la Plaza,15-17,cuandodulceolvidomeconvidanochefaldasmeadormeceentresuenoimagenmeapareceaquellasuenoestavidayotemordesdenimpidabrazostiendogustomeofreceellasombrafindesvaneceabrazoairedondeestaescondidaasiburlandodigoahfalsoenganoaquellaingratamimalprocuratenteaguardalisonjatormentoellatantoentrenocheoscurahuyecorrotrasellaohcasoextranopretendoalcanzarpuessigoviento,Satira
Soneto,Juan de Jauregui,15-17,damepenascosisifocansadotuinfelicetantalotupenadameprometeoaguilacadenaheridopechocaucasoatadodameixionruedaamarradoeternogirocielotecondenallevadtodosmiseriaajenacorazoncelosabrasadoaliviareispesomitormentomientrastruecodesigualporfiafuerevuestrapacienciapoderosacuandoalgunofaltesufrimientonojuzgaradespuestanrigurosapenasuyaexpertomia,Religioso Mistico
Soneto,Antonio Hurtado de Mendoza,15-17,amarquieropremionuncapuedoamarpremiopadecerquerriadolortantoagradaalmamiaestegustoescrupulosoquedoapetezcomorirdenuedohallonuevarazoncobardiahuyomaltomaosadiapartevivirvozmiedosivivomidolordesacreditosimueroamoalmacondenaunocomodidadotrodelitoohnovedaddesdichaajenavidamalinfinitonobastemorirpena,Amoroso
"En agradecimiento al vejamen, que al graduarle le ",Fray Juan Félix Girón,15-17,graduandorectorsoberanosagradocolegiodoctoreslesentregotitulosmejoressalluzciudadtantamanosaldeshicieranovanosinohaciendosabermilsaboresluzdieseeficacesresplandoresciudaddescubratodollanoasisesparceigualluceencumbraclaustrosevillanotalretrataantorchafarollucesigualessalgapuesluzestaalumbraaunburlascuandodesatarepartelucesdescubresales,Satira
Al mismo tema,Francisco Benavides Manrique,15-17,finespanasiprecisofuerafamatuyasuperarayodefendieraentoncesyoafirmaratufamatufamaexcedieraaquellapuessofisticapudieraigualartevencertesihallaraquiennodesmintieracaracaratodotiempovezdesmintierasivulgoprofesaignorantesienteotracosacomovulgosientementiraadelanteigualatencioneternamentetendratufamaconstantesiemprevolaragentegente,Religioso Mistico
"En una estatua del rey Filipo III, esculpida por i",Juan de Jauregui,15-17,lisiposolastrasuntoveropudoesculpirmacedoniomartedoreguladasfuerzasarteescultorigualguerreropuestuagorajuntasmarteiberomundoantiguotusegundapartebiendebequienintentafigurartesobrarindustriaburilprimerocomoalejandrosoberanoreinoteaumentacielogranfilipoasitedaescultorsuyoeccedeyavesdoctalabortoscamanooscureciendoartelisipotuespirituinfundirmarmolpuede,Melancolico
Sonetos – - II -,Rodrigo de Carvajal y Robles,15-17,yanoculpoamorporquenoparteyadeshelartupechofrioporquetodofuegoestamiomifuegonoaspiradeshelarteantessimepidesparteamartematartudesvionotehadarningunamialbedrionoperderningunaadorartepuesobstinacionmifirmezatusequedadnobuscamediobuscafierezatumatarmedesviosequedadfierezabiencontradigasmiremediopuesyomismonoaspiroremediarme,Amoroso
A la muerte de don Anastasio Pantaleón de Ribera,Juan de Vidarte,15-17,oscuranochebanaclarodiaconfusanochecaosterrenotodoescuchogemidosllenocuantoalbergatiorbecuantocriagranorfandadpoesiadolortengafuerzavenenopuesmuriocisneesterioamenosolocuandovivianuevaimpresionmirobrillanteguirnaldaariadnacoronaliraestrellasinstrumentosimianastasioerranteplanetadulzuraleaprisionasidaastrosfijosmovimiento,Amoroso
"A la muerte de doña María de Herrera, dama hermosísima de Alcalá",Anastasio Pantaleón de Ribera,15-17,debajohuespedestalosafrianofeudonoviolenciasitempranamuertesegurvillanadeidadvivioyacemariaprivilegiocedefataldiacaducabeldadsoberanasersolomortaltuvohumanacuandojuventudmejorviviasuspendapietujustareverenciahuespedcuandocieloreposotrasladabeldadheroicamenteestorboteadmirepresenciaeseporfidoyareligiosoaunhermosaquietudsagradomiente,Religioso Mistico
"Al nacimiento del señor Marqués de Villalba, su hijo del señor Duque de Feria, y de mi señora doña Isabel de Córdoba, hija del Duque de César",Carlos Boyl,15-17,cesarinaexcelsahermosalunasolferiaamandonuptioasientoalmarayosmovimientoentrellamasluzpusocunadioleestadonaciendofortunamercuriomarteletrasardimientoapoloioveraroentendimientodonotroscolumnacielorematebienesestaalbasuyaventurosaenvianacervalencialehizosalvaohsucesoserunicovienespuesviovalenciaalbamediodianaciendomarquesbellovillalba,Religioso Mistico
Soneto,Alonso de Salas Barbadillo,15-17,trasladaslatinoelocuenciaximenezdoctoespanoldivinocultasfraseslatinoasreducidoarteexcelenciasagradofaroltuprudenciaensenamortalescaminotanfacilcuantoraroperegrinollegarpuertocienciapuesjustointentotellamamostrarlenguassabenaltoestilohablarofrecesdivinaslenguasfamaensenalastambienporquealabensabranalabartecualmereces,Amoroso
En alabanza del doctor Juan Pérez de Montalbán,Juan Ramírez Vela,15-17,canoroinflujoapolineoacentotandeidadliraleinspirayaconstelacionliraprimeracausainstrumentoespanolapoloportentofelizdulceotraliracuantosgiraaquellaparalelosestaadmiradiscursointeligenciamovimientovegamontesibienformadifierennomagnitudnoeclipticasdoradasporquesiendovozplectrosumamuertosvivificanpuesadquierenmirarmuriendosolfijadaslopeliramontalbanpluma,Religioso Mistico
Al mismo tema,Juan Valle de Velasco,15-17,quiendudasacasetracioorfeocaraesposainfiernooscurotiernollantotormentoduromoviofuriasparoleteooigavozesteespanolmuseoverahacecantopuropuestruecafebovozsegurogobiernorazonmuseoyablancoscisnessoliancantarsabiodiossonreprobadosvocesbajasroncasconfusasmoscasamayamusasfianellassolassecretosreservadosmoscassoncisnesmusas,Religioso Mistico
Soneto,Francisco de Figueroa,15-17,comomevieseamordesnudotiernotemblandotristevabuscandodiadondeescaparsenievefriahielomitigarrecioinviernocomovidoresplandoreternohermosafiliallivialumbredebehaberaquideciaentrandobuscadolorgobiernotocosenoninodioleenojosestabafrionievesenocorazonpiedramalletratahuyocorazonfueseojoscomoviolugartandulcebuenoalliquisovivirallimata,Amoroso
Soñé que una piedra me arrojaba,Francisco de Terrazas,15-17,sonepiedramearrojabaquienmiquerersujetoasiteniacasiyabocamecogiafieraabajomeesperabayotemorbuscandoprocurabadondemanosmetendriafiloespadaasiahierbezuelaotrahincabayerbaandaribaarrancandoespadamimanodeshaciendoyofilosvivosapretandoohmiseromimalmeentiendopueshuelgovermeestardespedazadomiedoacabarmimalmuriendo,Heroico
Buena suerte de día,Diego Ramírez Pagan,15-17,nochesdormirpasoesperandolevantehermosaauroravenidodiameantojahoravuelasabercomocuandosoldetengaestoyrogandoluzcaminepasoahorapuesestamisojosyanomoraconmigosituyavacesandoohvistabellaquientusrazonesgozarsiemprepudiesedulzuraavienememicomodormidosisuenatesorosoncarbonessiardientesoltinieblaoscuraalegriallantoentristecido,Amoroso
A fray Pedro de Padilla por su Tesoro de poesías publicado en 1587,Ruiz López de Zúñiga,15-17,segundoapolovenirpostreroprimeroseringeniolevantadosegundomundocelebradomundoconocidoprimerocontratiempovarioligerofamaescribatublasonsagradotemploeinmortalnombrefijadotintaoropapelacerodejafamaescribirtalsumapuesnopuedesumartantagrandezacualpadillaencierracielofurordivinodestrezacontrasuerteestefragilsuelolehainmortalizarinmortalpluma,Amoroso
Soneto,Fray Antonio Gual,15-17,contraluzbeltuvalormedrosopruebasapenasacerosantohonorcieloinfiernoespantonuevomarteignaciovalerosodulcecuandopazgozasdichosodivinaluzbebiendosacrosantosumobienasomofebotantoformasietecirculoslustrosonuevofavorquiennoadmiravertebatallasenalprimeradebidavencedorgozargloriasiembestirtepremiaestasuertedinostupisasyaesferacielotediovictoria,Religioso Mistico
A Lope de Vega Carpio,Pedro Fernández Marañón,15-17,numerodulzuramilagrosasuaveestiloerudicionsesotienelopevegaexcesocuantosescribenversoprosanaturalnumencopiosavenacualcaractersacroimpresosabrosoliricopesoepicopoemagravecosatieneelecciondisponesolovesumootraparteciencianaturaltalgrandezapuededudaresteapolosinaturalezavenceartevenceartenaturaleza,Religioso Mistico
Al Marqués de Priego,Pedro Fernández Marañón,15-17,dadlesenoralasplumasdelasaguilasvuestrashasidoaguilacisneconocidodelodelfosanfisocumascanopoheladasbrumasadustoetiopetenidotodomaranchoextendidoempinamontessacudeespumasdadlesenorplumasalasvuelepeligrositioicarocuerdoligeroenvidiaraletritoniapalasconoceranleapolopythiovosalejandroestehomero,Amoroso
Juan de Castellanos,Cristóbal de León,15-17,sipudierallegarmiflacovueloadondetuyoteabalanzastuvierascastellanosalabanzastanaltassubieranhastacielosuplafaltaellasestecelotuvolevantadasesperanzascuandopensetalesconfianzasvolarterminossueloyanopuedomecontentohacermiparteposibleadmirarmetucabalhistoriafabricaseternomonumentoversotersodulceapacibledignociertoinmortalhistoria,Amoroso
Soneto,Fray Bernardo de Cárdenas,15-17,ensillasanchoamigorocinantedamelanzayelmomambrinoacomodaalforjapollinobalsamopreciosopondelantepuesdiosmehizocaballeroandantehoydesfacertuertodeterminofacedoncellamalandrinojayandesaforadocruelgigantediceesclavaestadoncellamientepuesyocuantodiceellagentildeshizocabezamimetocasanchodefendellayosoycaballerovotohicedefendervirginalpurezasubioligerezatomandoyelmoescudolanzalesiguioescuderosanchopanza,Religioso Mistico
Al célebre y aplaudido en el orbe doctor don Juan Pérez de Montalbán,Tomás de Villarín,15-17,yaceaquellalosasepultadodoctormontalbanperegrinotanilustreingeniotandivinonombredetenpasoapresuradobientienecorazonobstinadoestemarmolvestivecinoquiennosientemuerteprevinotiempoaccidenteaceleradosinacionesremotasvivefamaalmaeternizadaentrecelebresmusastienegloriatuletrasesculpidasnotasvezinciensocasiaregaladaconsagramarllantomemoria,Melancolico
Soneto,Diego Ramírez Pagan,15-17,dardaniocuentocayadonombrefiguradeshaciaaquellaninfaquienmismohabiamilcortezasarbolescortadorostrotristedemudadoayalmalesaliaohperversamarfiraledeciaquienpusemifesesocuidadosipudiesealmaturetratoquitarcualarboleslequitonohariasmividasertancortaaycuandemastristemematoestacorazonescritoborrarlocortezapocoimporta,Religioso Mistico
Soneto,Miguel de la Vena,15-17,mueresheroegloriosopobrelechopatentecielonoblellamacorazonamantetantoinflamarespirarnopuedemenortrechomirarparcacrueldespechoentreasombrossuspensomundoclamacomomueresjaviercuandofamavivealientostupechosifinorbeestascomoimaginatuardornohaempezadocarreracomomueresvistachinaansiastufeamoresperatuluzhalloprecisaruinavernogozartuamanteesfera,Religioso Mistico
Soneto,Francisco de Terrazas,15-17,dejadhebrasoroensortijadoanimametienenenlazadavolvednievenopisadablancoesasrosasmatizadodejadperlascoralpreciadoesabocaestatanadornadacieloquiensoistanenvidiadavolvedsoleslehabeisrobadograciadiscrecionmuestrahasidogransabercelestialmaestrovolvedseloangelicanaturatodoaquestoasirestituidovereisosquedapropiovuestroserasperacruelingratadura,Religioso Mistico
"Soneto en el libro de Baltasar Gracián, Agudeza y arte de ingenio",Alonso de Salas Barbadillo,15-17,cumbresantidadmontesagradocielonosensenaencaminatansenaladosantidaddivinamismodiosvossenaladoindiceaquellibrocelebradoverdadvirtudinclinamanocorristecortinasumodioscubiertodisfrazadolemostraisvaronfamosopueblodespuestiranamentehasersangrecarniceroencogedvuestrodedomilagrosoadvertirmostradleaquestagentemostrarloboscordero,Religioso Mistico
A Joseph de Villaviciosa,Juan Valle de Velasco,15-17,mudamueveabrecuerpopieplumapezanimalpajaronotantonadacaminavuelajosephcuantonadacaminavuelatuhonrasumatritonnipardoniaguilapresumanadarcorrervolarcomotucantoponeaguatierraaireespantoescamapielalassumanadacorrevuelapasatusversosnombregranfamatienebrazospiesalascuentonipenamontenubeponetasamovermudarabrirllamariomarpozosuelobajoviento,Amoroso
Los quince misterios del Rosario,Andrés Rey de Artieda,15-17,cuandomariaangelsaludaellavisitaelisabetprimacuandoparecielomundoanimacuandoordenadiostemploacudacuandocristohuertosangresudaazotecoronalelastimacuandosagradolenoechaencimapasamuertetanacerbacrudacuandotriunfogloriaresucitasubecielosiglesiasantaespiritusantovisitacuandollamamariasacrosantacoronaaplausogritasiemprefiniglesiacanta,Religioso Mistico
"Soneto a la venida del ilustrísimo y excelentísimo señor Duque de Feria, virrey y capitán general en esta ciudad y reino de Valencia",Carlos Boyl,15-17,solferiaenvueltoferiasvinodelasgrandezasinsigneestadoquientraeobligadocontarferiacontinosegunlevaferiameimaginohabladeseoobligoferiadoasimiobligacionferiahedadoloasduenodestaferiadinotiendaestaferiavenidomayoratributosueloprestofamahallarmateriaquienvozbienagradecidoferiasamorpusocielotiendaalegreledioestaferia,Religioso Mistico
A los celos,Anastasio Pantaleón de Ribera,15-17,ahamorsagradamonarquiacuantofueratuyugosabrososicelosdolorforzososupieraresistirsealmamianoinmortalresistevalentiaalmanorigortanpoderosoafanleimponeeternoreposocelosinfametiraniacualinmortalidadestasegurafurorcelossiatreveseraunalmashomicidanotangraveofensanotanduratosigosecretolabiobebepuesmueresolarigorvida,Religioso Mistico
A la muerte del doctor Juan Pérez de Montalbán,Juan de Vidarte,15-17,vivefelizpatriadichosaporcionpreciosamitristevidanopuedenollamarperdidavidamortaltrocogloriosasitumuertemillorosatodaestapenamimemoriaolvidapuestuvivesmitupartidatuvidamivivirforzosasiantesdosvidasdulcementevivisteyatresvivirtemirolograndolaurotudoctafrenteadquiridatuplumaadmirogloriosagozaseminenteestamortaltisuspiro,Religioso Mistico
La virtud a la envidia,Juan de Jauregui,15-17,juezenormesculpasnocorrigesvirtudcondenasaborrecestuajenadichateentristecesdanoajenoalivioeligesenvidiatraidorasarmasrigestupesarsianimoembravecesenvidiadohonorasengrandecesenvidiosoahincoafligeshacerpodrastuvenenoempleoturbandopechomisobrasculpaminoalbergatufuegoindiciootramayorvenganzanodeseomeenvidiapropiaculpadondecastigosimesmovicio,Religioso Mistico
"A la muerte del doctor Juan Pérez de Montalbán, insigne ingenio de España",Francisco Benavides Manrique,15-17,viveohgrandevaronamayorfamatesepaquerermusamiavivetucenizaaunnobienfriaalientoinducerepetidallamadesprecioluzsolderramateprestaardientesmientrasformadiacomofenixatropostefiatunuevovivirlaquesistramaohtusiemprefelizpuesnoinciertotefomentaapolocomoaveaquellaanteslevecenizaohtusiemprefelizpuesaunnohasmuertocuandoempezandovidasuavetumuertetuvidaeterniza,Religioso Mistico
"Al sol, amaneciendo",Juan de Jauregui,15-17,rubioplanetacuyalumbrepuratiempomidecadapuntohorasibelloobjetomipechoadorasololegozoentrenocheoscurayaadelantaapresuratuluzinjustaorientedorasombrasalejandoaurorasombrasmifelizventuradirasdulceespaciodefraudadoyanochemedarasdiatalvidapuntonomedebassidebescausaausenciamiavidasolotiempomellevasmeofrecesmortalcuidado,Religioso Mistico
Soneto,Antonio Hurtado de Mendoza,15-17,amablesoledadmudaalegrianiescarmientovesniofensasllorasegundahabitacionaurorasverdadprimeracompaniatardebuscabapazalmamiavanainquietudmundoignorasdondenoambicionhurtahorasenteronacehombrediadichosatununcadasvenganzanipalaciovespropiodanoofendidaverdadmudanzasabrosamentiraenganodulceenfermedadesperanzapesadasaluddesengano,Religioso Mistico
Lamento de Ariadna,Luis Martín de la Plaza,15-17,velatraicionvientollenavistacansadadeseosigueariadnatraidorteseoplayallantosuenahebrasoropiedadajenainjuriadejadoradoempleoairericoazulnereoperlasllorandodaarenavuelveingratolediceenganohonormequitasnoleaumentessoledadestospenascosfriostristeyoesfuerzopropiodanopuestedanmiteausentesvientopopasuspirosmios,Religioso Mistico
A la Concepción de Nuestra Señora,Fermín de la Puente y APechea,15-17,luzohsenorporquetuhablastetierramarfirmamentosolotuquerermundoscuentobrotarancomomundocreastesoloformarhombretrabajastemanosponiendoellopensamientoalmahicistesoplotualientolodovilmaravillosoengasteahsitantoporquetuideaviomediotiempoaquimundotuverbohijohombrehombreseriacrearmadredecirseacualformasteohmidiosyomeconfundoconcepciondivinamaria,Religioso Mistico
Soneto,Luis Martín de la Plaza,15-17,ohmicefiroestimadohumedonototusolcielonegrostoldospardovelocubresrostroazulcrindoradoasinuncajamascierzoairadobarriendonubesarrojandohielotequitemantoteahuyentevueloespesaslluviasmarhinchadosondaslevantesalborotoaquellanavequienmibiennavegatraigapuertotuanimosoalientooyemijustoruegofresconotoayfrutoaguardaquienleentregalagrimasmarruegoviento,Amoroso
Soneto,Bartolomé Sánchez,15-17,habeisechadosellonuestracienciatalsublimeobrabuensilvanodiciendoilustrealtamiranovalorcristiandadpacienciainfalibleverdadpendenciaramostuvoluteranovengopastorpoderosamanodandonosentenderomnipotenciahumildelevantaledaloasoberbioarroganteechatierraestilosenorordinariorecibemimanobuenbalboaestesonetocriollotierrasenalsoytributario,Amoroso
Soneto,Matías Juan Beana,15-17,sentimientocielotanextranodescubroestebultoperegrinoaquelriotaborluzdivinonavarrasangrientobanosicadafuenteviertecanolicorpreciosocielovinosegundavezredimeamorfinomundotodorindioenganoayafanlehieredistanteindiojavierdiospadececorrespondidodolorprofundosiendojavieramantesiorbecoralofreceleviertejavierpesamundo,Religioso Mistico
"Enójase el autor con una dama, que el enamorarla fue causa de que hiciera versos",Alberto Díez,15-17,mujernopideapasionadotuspartesestuverendidoviendocelebrabasentendidoprocureescribirsecuidadohallemetudiscursoenamoradodisculpasatrevidomiamorcodiciosotehametidopoetaserlicenciadopidierasmedinerohermosaanardanohacermecaertanperversosdelitosnohayformamecobrenohevertemividaguardaguardapueserescausahagaversospedirmenidartemehacespobre,Amoroso
A la Carolea,Jerónimo Sempere,15-17,delficolaurelcoronaaugustamajestademperadorespremiopoetasmoradoresaquelvirgineofertilheliconaentrambossacrahasidopersonaunootrodaeternosfavorescesarsujetoescritoresescritorcesarespregonaaquipoetacelebreperfectotalmodohaceeternamemoriacesarcarloreyespanascarlomilpoetasdiosubjetomilemperadoresdieragloriaquiencantaaquiinclitashazanas,Religioso Mistico
- XI -,Juan de Arguijo,15-17,presentaufanocesarvictoriosotiranomenfisinclementetemidacabezaorientetuvosonarmastemerosonopudodarcorazonpiadosoenjutosojosniserenafrentedonfunestogimioimpacientetalcrueldadrepitiollorosotugranpompeyofatalcaidaserasejemplohumanagloriaciertoavisofininciertocuantodebetuvirtudcrecidacuancostosotumuertemivictoriavivoteaborrecitelloromuerto,Melancolico
Soneto,Francisco Bueno,15-17,cuandocruzinteriorjavierpenabacristoansiosotambiensangrevertiatancercadivinopareciavenascruzequivocabatantocorazoncrucificabadolormeritoqueriaexplicarsecruentonopodiaporquesangremeritonohallabaestepadecerexquisitopuesansiastormentollenaslimitomerecerserfinitocruznobastandohumanasvenasmeritollegueinfinitopusosangrediosjavierpenas,Religioso Mistico
Soneto,Juan de Arguijo,15-17,ciegaoscuridadhorrorcubiertaestatierratantohermanosilvestrediosasaleufanorojoorienteeburneapuertaanteojosvemuerteciertapilotopielagoinhumanodandovientodeseosmanovidatruecaesperanzamuertatrasimportunaguerraconsiguedichososanospazseguratupuesmediotusmalesfiafincosaciertasiguetrastormentaguerranocheoscurabuentiempodulcepazalegredia,Religioso Mistico
Soneto,Francisco del Campo,15-17,sientepesarmarmolalientootravezjavieramanteespiraalmaestatuaarteinspirasegundavezlerobasentimientocuantojavierpesatormentopuesmarmolsudarsemiranoherirapenarespirasidioscastillonoestaexentopadececristoverjavierpenamuertovivasangresivierteyafazluzsiempreserenafataleseclipsesconviertecuantocercaharapenainmortallejosdamuerte,Religioso Mistico
- LIV -,Juan de Arguijo,15-17,labraartemisagrandemausoleoaltospiramidesafrentaegipciosoberbionocontentabuscailustrefemayortrofeotiernocastopechonuevoempleohacersepulcromuertoesposointentacuyascenizasamorsedientabebeansiasinmortaldeseomalpodradiceenemigamuertetidulcemauseolodividirmenilargoolvidosepultartugloriainjuriabastadefendermemipechobroncemarmolfirmeeternizarmiamormemoria,Religioso Mistico
Soneto,Joseph Miralles,15-17,bastagloriasbastafavorespenastormentosbastaalegriascontentosafliccionesrigoresbastadulcesamorprimoresrigorabatimientobastafavorconocimientosafandoloressernoquererpremiosimportunodesconocersesiconocerseconsuelosnoquererningunootronosicompadecersemundoestascosastuvoalgunohastafranciscollegoverse,Amoroso
- XXXVIII -,Juan de Arguijo,15-17,prestocursovelozdenuedosigueapolohijapeneohurtounoalasdeseootroleprestopiesmiedotealejassialcanzartepuedoledijomiamorohdignoempleopiensascualaretusaalfeohuirmivagovientoexcedoalentocarrerayavencidacuidotenerdafnedurezatantoleacercoamanteciegopiadosopadresocorridatrocandoarbolmortalbellezaburlobrazosavivofuego,Religioso Mistico
Soneto,Francisco Caus,15-17,impuratempestadduratormentafantasticovaporsuenomuevecontracandorinmunidadesbebeampoangelalimentadormidoleasaltollamaviolentaacaradescubiertanoatrevecomodiomanosnievehielafuegopurezaalientaimpuroconcibiosentidomaticesbocavioluegoespumassangredivertidoellaquedofrioardorciegoporquebatallastorpesaundormidollevajaviertodosangrefuego,Religioso Mistico
A don Diego de Mendoza y a su fama,Ortigal de Cervantes,15-17,memoriavivegentesvaronfamososiglosinfinitospremiolemerecentusescritosgravespuroscastosexcelentesansiashonestallamaardientesetnassetigioscozitosellossuavementevandescritosmirasibienfamacuentesllevesligerovuelocuantocinemarsolrodealaminasbronceesculpasasisuelosabrasabecielorenombreinmortaldeseatalvezlealcancenamorosasculpas,Amoroso
- LVI -,Juan de Arguijo,15-17,gransenorasiaveneradopadretantosreyessuertefierafaltasepulcroyaceriberacabezanombrecuerpoheladocuandovetroyaderramadofuegocontienealtaesferafaltadesnudotroncopostrerallamasololebanapontoairadotiadmiramoshumanasuerteinconstanciaohejemplosegundotivueltasinciertavidacualvozhabradignamenteaciertelamentarfincuandoviomundonigrandezamayorniigualcaida,Religioso Mistico
- XL -,Juan de Arguijo,15-17,tristefinsuerteinfortunadaajenopremiofeconstanteunootromiserableamantequienperdionocheespadaencierraoscuraestalabradapiedratuperegrinocaminantereparagravecasosemblantepiosuspendecursotujornadadarastiernaslagrimasnodudocenizasdondeaunduraardientefuegocausodesdichatantadebidacompasionmalpudotrocarcolorcercanafuentefrutosilvestreplanta,Religioso Mistico
A la muerte de Lope de Vega,María de Zayas y Sotomayor,15-17,simillantomiplumanoestorbarafenixpatrianuevoapolomiliratehicieramauseolotuinmortalidadaposentaramejoryoningunotealabaracomotuunootropolouniconacistesolsolosolomiamorsoloteigualaracomocantarecuandotelloroesperanzaningunconsueloyaternuraseaseadecoropuespierdenhoyporqueteganocielomantuaprendaespanatesorodiosmusasvegasuelo,Religioso Mistico
- XXIV -,Juan de Arguijo,15-17,vencedorhuyendolesbosdejapompeyorotofarsaliaguerraesposaembarcatierrainundanilomalalejahadorigurosoleaquejaextranjeroreinoledestierraseguridadbuscaencierrafindiocorneliaeternaquejafieratormentabuscadopuertogranpompeyohallavezabrigoquienmudanzassuerteignoraquiennorecelarasucesoinciertosidamuerteobligadoamigosienemigovencedorlellora,Melancolico
